,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Metro,Recognized in Metro,Metro Rank,Tied?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated
0,Children's Hospital of Philadelphia,6231730,6231730,3401 Civic Center Boulevard,Philadelphia,Pennsylvania,PA,19104-4319,39.9487,-75.1935,"Philadelphia, PA",,(215) 590-1000,https://health.usnews.com/best-hospitals/area/pa/childrens-hospital-of-philadelphia-6231730,"Philadelphia, PA",False,,False,0,0,10,2023-01-04 16:42:46.120813
1,Hospitals of the University of Pennsylvania-Penn Presbyterian,6231900,6231900,3400 Spruce Street,Philadelphia,Pennsylvania,PA,19104-4206,39.9501,-75.194,"Philadelphia, PA",,(215) 662-4000,https://health.usnews.com/best-hospitals/area/pa/hospital-of-the-university-of-pennsylvania-6231900,"Philadelphia, PA",True,1.0,False,2,12,0,2023-01-04 16:42:46.120813
2,Jefferson Health-Thomas Jefferson University Hospitals,6230043,6230043,111 South 11th Street,Philadelphia,Pennsylvania,PA,19107-5084,39.9498,-75.1584,"Philadelphia, PA",,(215) 955-6000,https://health.usnews.com/best-hospitals/area/pa/thomas-jefferson-university-hospital-6230043,"Philadelphia, PA",True,2.0,False,2,9,0,2023-01-04 16:42:46.120813
3,Main Line Health Lankenau Medical Center,6231970,6231970,100 East Lancaster Ave.,Wynnewood,Pennsylvania,PA,19096-3411,39.98813305,-75.2624303761465,"Philadelphia, PA",,(484) 476-2000,https://health.usnews.com/best-hospitals/area/pa/lankenau-hospital-6231970,"Philadelphia, PA",True,3.0,False,4,1,0,2023-01-04 16:42:46.120813
4,ChristianaCare Hospitals,6310120,6310120,4755 Ogletown-Stanton Road,Newark,Delaware,DE,19718-0002,39.6879,-75.669,"Philadelphia, PA",,(302) 733-1000,https://health.usnews.com/best-hospitals/area/de/christiana-care-hospital-6310120,"Philadelphia, PA",True,4.0,False,1,1,0,2023-01-04 16:42:46.120813
5,Main Line Health Paoli Hospital,6233430,6233430,255 West Lancaster Avenue,Paoli,Pennsylvania,PA,19301-1763,40.0445,-75.5022,"Philadelphia, PA",,(484) 565-1000,https://health.usnews.com/best-hospitals/area/pa/paoli-hospital-6233430,"Philadelphia, PA",True,5.0,False,3,0,0,2023-01-04 16:42:46.120813
6,Pennsylvania Hospital,6230022,6230022,800 Spruce Street,Philadelphia,Pennsylvania,PA,19107-6192,39.9455,-75.1555,"Philadelphia, PA",,(215) 829-3000,https://health.usnews.com/best-hospitals/area/pa/pennsylvania-hospital-6230022,"Philadelphia, PA",True,6.0,False,5,0,0,2023-01-04 16:42:46.120813
7,Doylestown Hospital,6230590,6230590,595 West State Street,Doylestown,Pennsylvania,PA,18901-2597,40.3056,-75.1465,"Philadelphia, PA",,(215) 345-2200,https://health.usnews.com/best-hospitals/area/pa/doylestown-hospital-6230590,"Philadelphia, PA",True,7.0,True,0,0,0,2023-01-04 16:42:46.120813
8,Main Line Health Bryn Mawr Hospital,6230260,6230260,130 South Bryn Mawr Avenue,Bryn Mawr,Pennsylvania,PA,19010-3160,40.0188,-75.3213,"Philadelphia, PA",,(484) 337-3000,https://health.usnews.com/best-hospitals/area/pa/bryn-mawr-hospital-6230260,"Philadelphia, PA",True,7.0,True,1,0,0,2023-01-04 16:42:46.120813
9,Temple University Hospital,6232300,6232300,3401 North Broad Street,Philadelphia,Pennsylvania,PA,19140-5103,40.0053,-75.1507,"Philadelphia, PA",,(215) 707-2000,https://health.usnews.com/best-hospitals/area/pa/temple-university-hospital-6232300,"Philadelphia, PA",True,9.0,False,2,0,0,2023-01-04 16:42:46.120813
