,Name,AHA ID,Hospital ID,Cancer Ranking,Cancer Ranking Tied?,Cancer Ranking Revoked?,Cancer Ranking Specialty ID,Cancer Ranking PrettyPrinter,Cancer Care Score,Updated
0,University of Texas MD Anderson Cancer Center,6741945,6741945,1.0,False,False,IHQCANC,adult,100.0/100,2023-01-04 19:41:01.724154
1,Memorial Sloan Kettering Cancer Center,6213060,6213060,2.0,False,False,IHQCANC,adult,85.7/100,2023-01-04 19:41:01.724154
2,Mayo Clinic,6610451,6610451,3.0,False,False,IHQCANC,adult,79.9/100,2023-01-04 19:41:01.724154
3,Dana-Farber/Brigham and Women's Cancer Center,6140583,6140583,4.0,False,False,IHQCANC,adult,76.0/100,2023-01-04 19:41:01.724154
4,UCLA Medical Center,6931755,6931755,5.0,False,False,IHQCANC,adult,73.2/100,2023-01-04 19:41:01.724154
5,Cleveland Clinic,6410670,6410670,6.0,False,False,IHQCANC,adult,71.9/100,2023-01-04 19:41:01.724154
6,City of Hope Comprehensive Cancer Center,6930590,6930590,7.0,False,False,IHQCANC,adult,69.9/100,2023-01-04 19:41:01.724154
7,Hospitals of the University of Pennsylvania-Penn Presbyterian,6231900,6231900,8.0,False,False,IHQCANC,adult,69.2/100,2023-01-04 19:41:01.724154
8,Northwestern Medicine-Northwestern Memorial Hospital,6430545,6430545,9.0,False,False,IHQCANC,adult,68.9/100,2023-01-04 19:41:01.724154
9,Siteman Cancer Center at Barnes-Jewish Hospital,6630930,6630930,10.0,False,False,IHQCANC,adult,68.4/100,2023-01-04 19:41:01.724154
10,Cedars-Sinai Medical Center,6930444,6930444,11.0,False,False,IHQCANC,adult,67.7/100,2023-01-04 19:41:01.724154
11,New York-Presbyterian Hospital-Columbia and Cornell,6210024,6210024,12.0,False,False,IHQCANC,adult,67.6/100,2023-01-04 19:41:01.724154
12,Johns Hopkins Hospital,6320180,6320180,13.0,False,False,IHQCANC,adult,67.4/100,2023-01-04 19:41:01.724154
13,University of Chicago Medical Center,6431210,6431210,14.0,False,False,IHQCANC,adult,66.4/100,2023-01-04 19:41:01.724154
14,Stanford Health Care-Stanford Hospital,6932330,6932330,15.0,True,False,IHQCANC,adult,66.2/100,2023-01-04 19:41:01.724154
15,UCSF Health-UCSF Medical Center,6930043,6930043,15.0,True,False,IHQCANC,adult,66.2/100,2023-01-04 19:41:01.724154
16,UPMC Presbyterian Shadyside,6230029,6230029,16.0,False,False,IHQCANC,adult,64.3/100,2023-01-04 19:41:01.724154
17,USC Norris Cancer Hospital-Keck Medical Center of USC,6931585,6931585,18.0,False,False,IHQCANC,adult,64.0/100,2023-01-04 19:41:01.724154
18,Perlmutter Cancer Center at NYU Langone Hospitals,6212925,6212925,19.0,False,False,IHQCANC,adult,62.9/100,2023-01-04 19:41:01.724154
19,UC San Diego Health-Moores Cancer Center,6932820,6932820,20.0,False,False,IHQCANC,adult,62.8/100,2023-01-04 19:41:01.724154
20,Massachusetts General Hospital,6140430,6140430,21.0,False,False,IHQCANC,adult,61.0/100,2023-01-04 19:41:01.724154
21,Duke University Hospital,6360355,6360355,22.0,False,False,IHQCANC,adult,60.5/100,2023-01-04 19:41:01.724154
22,Mayo Clinic-Phoenix,6860019,6860019,23.0,False,False,IHQCANC,adult,60.4/100,2023-01-04 19:41:01.724154
23,Ohio State University James Cancer Hospital,6410008,6410008,24.0,False,False,IHQCANC,adult,60.3/100,2023-01-04 19:41:01.724154
24,H. Lee Moffitt Cancer Center and Research Institute,6391069,6391069,25.0,True,False,IHQCANC,adult,60.2/100,2023-01-04 19:41:01.724154
25,UT Southwestern Medical Center,6740343,6740343,25.0,True,False,IHQCANC,adult,60.2/100,2023-01-04 19:41:01.724154
26,Fred Hutchinson Cancer Center/University of Washington Medical Center,6910011,6910011,27.0,False,False,IHQCANC,adult,59.7/100,2023-01-04 19:41:01.724154
27,Mount Sinai Hospital,6213140,6213140,28.0,False,False,IHQCANC,adult,59.0/100,2023-01-04 19:41:01.724154
