,Name,AHA ID,Hospital ID,Address,City,State Name,State Abbrev,Zip Code,Latitude,Longitude,Search Location,Distance from Search Location,Phone,URL,Recognized in State,State Rank,Tied in State?,Region,Recognized in Region,Region Rank,Tied in Region?,Metro,Recognized in Metro,Metro Rank,Tied in Metro?,# of High Performing Adult Specialties,# of National Rankings (Adult),# of National Rankings (Pediatrics),Updated,Name (Specialty),Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated_Spec
0,NYU Langone Hospitals,6212925,6212925,550 First Avenue,New York,New York,NY,10016-6402,40.7421,-73.9743,"New York, NY",,(212) 263-7300,https://health.usnews.com/best-hospitals/area/ny/nyu-langone-medical-center-6212925,,,,,,,,"New York, NY",True,1.0,False,0,14,3,2023-01-04 20:48:35.731110,Perlmutter Cancer Center at NYU Langone Hospitals,IHQCANC,62.9/100,19.0,False,False,adult,2023-01-04 20:29:21.680567
1,New York-Presbyterian Hospital-Columbia and Cornell,6210024,6210024,525 East 68th Street,New York,New York,NY,10065-4870,40.7647,-73.954,"New York, NY",,(877) 697-9355,https://health.usnews.com/best-hospitals/area/ny/new-york-presbyterian-university-hospital-of-columbia-and-cornell-6210024,,,,,,,,"New York, NY",True,2.0,False,1,14,10,2023-01-04 20:48:35.731110,New York-Presbyterian Hospital-Columbia and Cornell,IHQCANC,67.6/100,12.0,False,False,adult,2023-01-04 20:29:21.680567
2,Mount Sinai Hospital,6213140,6213140,One Gustave L Levy Place,New York,New York,NY,10029-0310,40.79,-73.9537,"New York, NY",,(212) 241-6500,https://health.usnews.com/best-hospitals/area/ny/mount-sinai-medical-center-6213140,,,,,,,,"New York, NY",True,3.0,False,1,11,3,2023-01-04 20:48:35.731110,Mount Sinai Hospital,IHQCANC,59.0/100,28.0,False,False,adult,2023-01-04 20:29:21.680567
3,Lenox Hill Hospital at Northwell Health,6212990,6212990,100 East 77th Street,New York,New York,NY,10075-1850,40.7738,-73.9608,"New York, NY",,(212) 434-2000,https://health.usnews.com/best-hospitals/area/ny/lenox-hill-hospital-6212990,,,,,,,,"New York, NY",True,4.0,False,2,9,0,2023-01-04 20:48:35.731110,Lenox Hill Hospital at Northwell Health,IHQCANC,54.1/100,50.0,False,False,adult,2023-01-04 20:29:21.680567
4,North Shore University Hospital at Northwell Health,6212357,6212357,300 Community Drive,Manhasset,New York,NY,11030-3816,40.7776,-73.7017,"New York, NY",,(516) 562-0100,https://health.usnews.com/best-hospitals/area/ny/north-shore-university-hospital-6212357,,,,,,,,"New York, NY",True,5.0,False,0,11,0,2023-01-04 20:48:35.731110,North Shore University Hospital at Northwell Health,IHQCANC,55.5/100,41.0,True,False,adult,2023-01-04 20:29:21.680567
5,St. Francis Hospital & Heart Center,6214410,6214410,100 Port Washington Boulevard,Roslyn,New York,NY,11576-1353,40.8043,-73.6705,"New York, NY",,(516) 562-6000,https://health.usnews.com/best-hospitals/area/ny/st-francis-hospital-6214410,,,,,,,,"New York, NY",True,6.0,False,4,5,0,2023-01-04 20:48:35.731110,St. Francis Hospital and Heart Center,IHQCANC,50.6/100,,,,adult,2023-01-04 20:29:21.680567
6,Long Island Jewish Medical Center at Northwell Health,6211680,6211680,270-05 76th Avenue,New Hyde Park,New York,NY,11040-1496,40.7532,-73.7069,"New York, NY",,(718) 470-7000,https://health.usnews.com/best-hospitals/area/ny/long-island-jewish-medical-center-6211680,,,,,,,,"New York, NY",True,7.0,True,4,6,9,2023-01-04 20:48:35.731110,Long Island Jewish Medical Center at Northwell Health,IHQCANC,53.3/100,,,,adult,2023-01-04 20:29:21.680567
7,Montefiore Medical Center,6213100,6213100,111 East 210th Street,Bronx,New York,NY,10467-2401,40.8808,-73.8795,"New York, NY",,(718) 920-4321,https://health.usnews.com/best-hospitals/area/ny/montefiore-medical-center-6213100,,,,,,,,"New York, NY",True,7.0,True,4,6,3,2023-01-04 20:48:35.731110,Montefiore Medical Center,IHQCANC,57.3/100,35.0,True,False,adult,2023-01-04 20:29:21.680567
8,Morristown Medical Center,6220680,6220680,100 Madison Avenue,Morristown,New Jersey,NJ,07960-6136,40.7895,-74.4656,"New York, NY",,(973) 971-5000,https://health.usnews.com/best-hospitals/area/nj/morristown-medical-center-6220680,,,,,,,,"New York, NY",True,9.0,False,4,3,0,2023-01-04 20:48:35.731110,Morristown Medical Center,IHQCANC,44.7/100,,,,adult,2023-01-04 20:29:21.680567
9,Hackensack University Medical Center at Hackensack Meridian Health,6220340,6220340,30 Prospect Avenue,Hackensack,New Jersey,NJ,07601-1914,40.8839,-74.0556,"New York, NY",,(551) 996-2000,https://health.usnews.com/best-hospitals/area/nj/hackensack-university-medical-center-6220340,,,,,,,,"New York, NY",True,10.0,False,4,4,1,2023-01-04 20:48:35.731110,Hackensack University Medical Center at Hackensack Meridian Health,IHQCANC,47.3/100,,,,adult,2023-01-04 20:29:21.680567
10,Stony Brook University Hospital,6214775,6214775,101 Nicolls Road,Stony Brook,New York,NY,11794-8410,40.9124,-73.1234,"New York, NY",,(631) 444-1077,https://health.usnews.com/best-hospitals/area/ny/stony-brook-university-hospital-6214775,,,,,,,,"New York, NY",True,11.0,False,1,2,0,2023-01-04 20:48:35.731110,Stony Brook University Hospital,IHQCANC,45.0/100,,,,adult,2023-01-04 20:29:21.680567
