,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
0,University of Texas MD Anderson Cancer Center,6741945,6741945,IHQCANC,100.0/100,1.0,False,False,adult,2023-01-04 20:29:21.680567
1,Memorial Sloan Kettering Cancer Center,6213060,6213060,IHQCANC,85.7/100,2.0,False,False,adult,2023-01-04 20:29:21.680567
2,Mayo Clinic,6610451,6610451,IHQCANC,79.9/100,3.0,False,False,adult,2023-01-04 20:29:21.680567
3,Dana-Farber/Brigham and Women's Cancer Center,6140583,6140583,IHQCANC,76.0/100,4.0,False,False,adult,2023-01-04 20:29:21.680567
4,UCLA Medical Center,6931755,6931755,IHQCANC,73.2/100,5.0,False,False,adult,2023-01-04 20:29:21.680567
5,Cleveland Clinic,6410670,6410670,IHQCANC,71.9/100,6.0,False,False,adult,2023-01-04 20:29:21.680567
6,City of Hope Comprehensive Cancer Center,6930590,6930590,IHQCANC,69.9/100,7.0,False,False,adult,2023-01-04 20:29:21.680567
7,Hospitals of the University of Pennsylvania-Penn Presbyterian,6231900,6231900,IHQCANC,69.2/100,8.0,False,False,adult,2023-01-04 20:29:21.680567
8,Northwestern Medicine-Northwestern Memorial Hospital,6430545,6430545,IHQCANC,68.9/100,9.0,False,False,adult,2023-01-04 20:29:21.680567
9,Siteman Cancer Center at Barnes-Jewish Hospital,6630930,6630930,IHQCANC,68.4/100,10.0,False,False,adult,2023-01-04 20:29:21.680567
10,Cedars-Sinai Medical Center,6930444,6930444,IHQCANC,67.7/100,11.0,False,False,adult,2023-01-04 20:29:21.680567
11,New York-Presbyterian Hospital-Columbia and Cornell,6210024,6210024,IHQCANC,67.6/100,12.0,False,False,adult,2023-01-04 20:29:21.680567
12,Johns Hopkins Hospital,6320180,6320180,IHQCANC,67.4/100,13.0,False,False,adult,2023-01-04 20:29:21.680567
13,University of Chicago Medical Center,6431210,6431210,IHQCANC,66.4/100,14.0,False,False,adult,2023-01-04 20:29:21.680567
14,Stanford Health Care-Stanford Hospital,6932330,6932330,IHQCANC,66.2/100,15.0,True,False,adult,2023-01-04 20:29:21.680567
15,UCSF Health-UCSF Medical Center,6930043,6930043,IHQCANC,66.2/100,15.0,True,False,adult,2023-01-04 20:29:21.680567
16,UPMC Presbyterian Shadyside,6230029,6230029,IHQCANC,64.3/100,16.0,False,False,adult,2023-01-04 20:29:21.680567
17,USC Norris Cancer Hospital-Keck Medical Center of USC,6931585,6931585,IHQCANC,64.0/100,18.0,False,False,adult,2023-01-04 20:29:21.680567
18,Perlmutter Cancer Center at NYU Langone Hospitals,6212925,6212925,IHQCANC,62.9/100,19.0,False,False,adult,2023-01-04 20:29:21.680567
19,UC San Diego Health-Moores Cancer Center,6932820,6932820,IHQCANC,62.8/100,20.0,False,False,adult,2023-01-04 20:29:21.680567
20,Massachusetts General Hospital,6140430,6140430,IHQCANC,61.0/100,21.0,False,False,adult,2023-01-04 20:29:21.680567
21,Duke University Hospital,6360355,6360355,IHQCANC,60.5/100,22.0,False,False,adult,2023-01-04 20:29:21.680567
22,Mayo Clinic-Phoenix,6860019,6860019,IHQCANC,60.4/100,23.0,False,False,adult,2023-01-04 20:29:21.680567
23,Ohio State University James Cancer Hospital,6410008,6410008,IHQCANC,60.3/100,24.0,False,False,adult,2023-01-04 20:29:21.680567
24,H. Lee Moffitt Cancer Center and Research Institute,6391069,6391069,IHQCANC,60.2/100,25.0,True,False,adult,2023-01-04 20:29:21.680567
25,UT Southwestern Medical Center,6740343,6740343,IHQCANC,60.2/100,25.0,True,False,adult,2023-01-04 20:29:21.680567
26,Fred Hutchinson Cancer Center/University of Washington Medical Center,6910011,6910011,IHQCANC,59.7/100,27.0,False,False,adult,2023-01-04 20:29:21.680567
27,Mount Sinai Hospital,6213140,6213140,IHQCANC,59.0/100,28.0,False,False,adult,2023-01-04 20:29:21.680567
28,Houston Methodist Hospital,6741960,6741960,IHQCANC,58.2/100,29.0,False,False,adult,2023-01-04 20:29:21.680567
29,AdventHealth Orlando,6390690,6390690,IHQCANC,57.9/100,30.0,False,False,adult,2023-01-04 20:29:21.680567
30,Beth Israel Deaconess Medical Center,6140013,6140013,IHQCANC,57.7/100,31.0,True,False,adult,2023-01-04 20:29:21.680567
31,Rush University Medical Center,6430985,6430985,IHQCANC,57.7/100,31.0,True,False,adult,2023-01-04 20:29:21.680567
32,Huntsman Cancer Institute at the University of Utah,6870315,6870315,IHQCANC,57.4/100,33.0,True,False,adult,2023-01-04 20:29:21.680567
33,University of Kentucky Albert B. Chandler Hospital,6510455,6510455,IHQCANC,57.4/100,33.0,True,False,adult,2023-01-04 20:29:21.680567
34,Dan L Duncan Comprehensive Cancer Center at Baylor St. Luke’s Medical Center,6742005,6742005,IHQCANC,57.3/100,35.0,True,False,adult,2023-01-04 20:29:21.680567
35,Montefiore Medical Center,6213100,6213100,IHQCANC,57.3/100,35.0,True,False,adult,2023-01-04 20:29:21.680567
36,OHSU Hospital-Knight Cancer Institute,6920570,6920570,IHQCANC,57.2/100,37.0,False,False,adult,2023-01-04 20:29:21.680567
37,Vanderbilt University Medical Center,6521060,6521060,IHQCANC,57.0/100,38.0,False,False,adult,2023-01-04 20:29:21.680567
